site structure type latitude longitude area_ha potential_population,,site,structure,type,latitude,longitude,area_ha,potential_population
Mt01 l circular_enclosure -57.9452  -9.4071 1.61 239,,Mt01,l,circular_enclosure,-57.9452,-9.4071,1.61,239
Mt02 l hexagonal_enclosure -57.8872 -9.8711 3.18 454,,Mt02,l,hexagonal_enclosure,-57.8872,-9.8711,3.18,454
Mt03 l circular_enclosure  -57.8772 -9.7048 5.11 719,,Mt03,l,circular_enclosure,-57.8772,-9.7048,5.11,719
Mt04 l enclosure -57.8212 -9.8132 2.41 349,,Mt04,l,enclosure,-57.8212,-9.8132,2.41,349
Mt05 l circular_enclosure -57.7557 -9.8221 1.77 262,,Mt05,l,circular_enclosure,-57.7557,-9.8221,1.77,262
Mt06 | circular_enclosure -58.2325 -9.4150 1.82 268,,Mt06,|,circular_enclosure,-58.2325,-9.415,1.82,268
Mt06 Il enclosure -58.2326 -9.4149 1.82 268,,Mt06,Il,enclosure,-58.2326,-9.4149,1.82,268
Mt07 l circular_enclosure -59.3228 -9.3501 9.88 1373,,Mt07,l,circular_enclosure,-59.3228,-9.3501,9.88,1373
Mt07 ll circular_enclosure -59.3208 -9.3512 9.88 1373,,Mt07,ll,circular_enclosure,-59.3208,-9.3512,9.88,1373
Mt07 Ill causeway -59.3146 -9.3476 9.88 1373,,Mt07,Ill,causeway,-59.3146,-9.3476,9.88,1373
Mt08 l circular_enclosure  -59.2340 -9.4506 0.9 143,,Mt08,l,circular_enclosure,-59.234,-9.4506,0.9,143
Mt09 | circular_enclosure  -58.6019  -9.9833 0.79 127,,Mt09,|,circular_enclosure,-58.6019,-9.9833,0.79,127
Mt10 | hexagonal_enclosure -58.4585 -10.0984 1.75 258,,Mt10,|,hexagonal_enclosure,-58.4585,-10.0984,1.75,258
Mt11 l circular_enclosure -58.6438 -10.3111 2.07 302,,Mt11,l,circular_enclosure,-58.6438,-10.3111,2.07,302
Mt12 | hexagonal_enclosure -57.3703 -9.4245 3.47 494,,Mt12,|,hexagonal_enclosure,-57.3703,-9.4245,3.47,494
Mt13 I circular_enclosure -58.4414  -10.7534 0.13 37,,Mt13,I,circular_enclosure,-58.4414,-10.7534,0.13,37
Mt14 | hexagonal_enclosure -59.6343 -10.0918 6.88 962,,Mt14,|,hexagonal_enclosure,-59.6343,-10.0918,6.88,962
Mt16 | circular_enclosure -58.5072 -10.3604 0.16 41,,Mt16,|,circular_enclosure,-58.5072,-10.3604,0.16,41
Mt17 | hexagonal_enclosure -57.9857 -9.7611 2.04 298,,Mt17,|,hexagonal_enclosure,-57.9857,-9.7611,2.04,298
Mt18 | enclosure -57.8512 -9.4176 4.53 639,,Mt18,|,enclosure,-57.8512,-9.4176,4.53,639
Mt19 | circular_enclosure  -57.8374 -9.5936 0.1 33,,Mt19,|,circular_enclosure,-57.8374,-9.5936,0.1,33
Mt20 l enclosure -57.7716  -9.8721 1.01 157,,Mt20,l,enclosure,-57.7716,-9.8721,1.01,157
Mt21 | circular_enclosure -59.0036 -9.4852 0.48 85,,Mt21,|,circular_enclosure,-59.0036,-9.4852,0.48,85
Mt23 | circular_enclosure -55.2413 -9.9197 1.59 236,,Mt23,|,circular_enclosure,-55.2413,-9.9197,1.59,236
Mt24 | causeway -55.5070 -9.6730 N/A N/A,,Mt24,|,causeway,-55.507,-9.673,N/A,N/A
Mt25/26 l circular_enclosure -58.5124 -9.9246 0.29 58,,Mt25/26,l,circular_enclosure,-58.5124,-9.9246,0.29,58
Mt25/26 Il circular_enclosure -58.5100  -9.9231 0.29 58,,Mt25/26,Il,circular_enclosure,-58.51,-9.9231,0.29,58
Mt27 l circular_enclosure -59.1692 -9.4302 0.45 81,,Mt27,l,circular_enclosure,-59.1692,-9.4302,0.45,81
Mt27 II circular_enclosure -59.1690 -9.4304 0.45 81,,Mt27,II,circular_enclosure,-59.169,-9.4304,0.45,81
Mt28 l circular_enclosure -59.2405 -9.3650 0.49 87,,Mt28,l,circular_enclosure,-59.2405,-9.365,0.49,87
Mt29 l circular_enclosure -59.3187 -9.2897 0.77 125,,Mt29,l,circular_enclosure,-59.3187,-9.2897,0.77,125
Mt29 II causeway -59.3240 -9.2909 0.77 125,,Mt29,II,causeway,-59.324,-9.2909,0.77,125
Mt30 l mounded_village -59.3287 -9.4957 0.77 125,,Mt30,l,mounded_village,-59.3287,-9.4957,0.77,125
Mt-31 | hexagonal_enclosure -60.0786 -9.9671 2.11 308,,Mt-31,|,hexagonal_enclosure,-60.0786,-9.9671,2.11,308
Mt-32 | enclosure -57.9185 -9.7542 2.63 379,,Mt-32,|,enclosure,-57.9185,-9.7542,2.63,379
Mt-33 | circular_enclosure -58.5755 -10.0513 0.21 48,,Mt-33,|,circular_enclosure,-58.5755,-10.0513,0.21,48
Mt-34 | circular_enclosure -58.5713 -10.1108 0.06 28,,Mt-34,|,circular_enclosure,-58.5713,-10.1108,0.06,28
Mt-35/36 | enclosure -58.5775 -10.0298 0.24 73,,Mt-35/36,|,enclosure,-58.5775,-10.0298,0.24,73
Mt-35/36 II circular_enclosure -58.5766 -10.0297 0.24 73,,Mt-35/36,II,circular_enclosure,-58.5766,-10.0297,0.24,73
Mt-37 | circular_enclosure -58.5424 -10.2691 0.19 45,,Mt-37,|,circular_enclosure,-58.5424,-10.2691,0.19,45
NN | enclosure -59.0066 -9.4575 1.54 230,,NN,|,enclosure,-59.0066,-9.4575,1.54,230
